Name,Image URL,Product URL,Price,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,TDP,Manufacturer,Part #,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Specs Number
Intel Core 2 Extreme QX9650,https://m.media-amazon.com/images/I/31h8k8HyC7L.jpg,https://pcpartpicker.com/product/VjMFf7/intel-cpu-bx80569qx9650,$152.52 ,"
4
","
3 GHz
",N/A,N/A,N/A,"
130 W
","
Intel
",BX80569QX9650,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Xeon E3-1230 V2,https://m.media-amazon.com/images/I/515Ui4-oD2L.jpg,https://pcpartpicker.com/product/VQrG3C/intel-cpu-bx80637e31230v2,$271.85 ,"
4
","
3.3 GHz
",N/A,N/A,N/A,"
69 W
","
Intel
",BX80637E31230V2,"
None
",N/A,"
Yes
","
Yes
",Boxed,"
22 nm
","
Yes
",N/A,18
Intel Core i3-540,https://m.media-amazon.com/images/I/51umLSyxeRL.jpg,https://pcpartpicker.com/product/WF6BD3/intel-cpu-bx80616i3540,$60.00 ,"
2
","
3.06 GHz
",N/A,N/A,N/A,"
73 W
","
Intel
",BX80616I3540,"
Intel HD Graphics
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
AMD FX-8150,https://images-na.ssl-images-amazon.com/images/I/41EBAKGSBWL.jpg,https://pcpartpicker.com/product/xG8Zxr/amd-cpu-fd8150frgubox,,"
8
","
3.6 GHz
",N/A,N/A,N/A,"
125 W
","
AMD
",FD8150FRGUBOX,"
None
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Core i5-4590S,https://m.media-amazon.com/images/I/51m7EsJG9-L.jpg,https://pcpartpicker.com/product/xvzv6h/intel-cpu-bx80646i54590s,,"
4
","
3 GHz
","
3.7 GHz
",N/A,N/A,"
65 W
","
Intel
",BX80646I54590S,"
Intel HD Graphics 4000
",N/A,"
No
","
Yes
",Boxed,"
22 nm
","
Yes
",N/A,19
Intel Core i9-10900K,https://m.media-amazon.com/images/I/51N+nWnAFBL.jpg,https://pcpartpicker.com/product/L3qBD3/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900ka,,"
10
","
3.7 GHz
","
5.3 GHz
",N/A,N/A,"
125 W
","
Intel
",BX8070110900KA,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",Boxed,"
14 nm
","
No
",N/A,20
Intel Core i7-3970X Extreme Edition,https://m.media-amazon.com/images/I/51+yA2R3VLL.jpg,https://pcpartpicker.com/product/spCwrH/intel-cpu-bx80619i73970x,$223.42 ,"
6
","
3.5 GHz
",N/A,N/A,N/A,"
150 W
","
Intel
",BX80619I73970X,"
None
",N/A,"
No
","
No
",Boxed,"
32 nm
","
No
",N/A,18
Intel Pentium Gold G5400,https://m.media-amazon.com/images/I/51Z+srL-daL.jpg,https://pcpartpicker.com/product/PvqhP6/intel-pentium-gold-g5400-37ghz-dual-core-processor-bx80684g5400,,"
2
","
3.7 GHz
",N/A,N/A,N/A,"
58 W
","
Intel
",BX80684G5400,"
Intel UHD Graphics 610
","
64 GB
","
Yes
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
Intel Core i7-960,https://m.media-amazon.com/images/I/51dmsDtAu7L.jpg,https://pcpartpicker.com/product/94TmP6/intel-cpu-bx80601960,$220.00 ,"
4
","
3.2 GHz
",N/A,N/A,N/A,"
130 W
","
Intel
",BX80601960,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Xeon E5-2660 V3,https://m.media-amazon.com/images/I/51rLr1NagHL.jpg,https://pcpartpicker.com/product/rMnG3C/intel-cpu-bx80644e52660v3,,"
10
","
2.6 GHz
","
3.3 GHz
",N/A,N/A,"
105 W
","
Intel
",BX80644E52660V3,"
None
",N/A,"
Yes
","
No
",Boxed,"
22 nm
","
No
",N/A,19
Intel Core i7-4770K,https://m.media-amazon.com/images/I/517dL9+87vL.jpg,https://pcpartpicker.com/product/7p98TW/intel-cpu-bxf80646i74770k,$231.05 ,"
4
","
3.5 GHz
","
3.9 GHz
",N/A,N/A,"
84 W
","
Intel
",BXF80646I74770K,"
Intel HD Graphics 4600
",N/A,"
No
","
No
",Boxed,"
22 nm
","
No
",N/A,19
Intel Xeon E5-2640,https://images-na.ssl-images-amazon.com/images/I/51j%2BGeVD5YL.jpg,https://pcpartpicker.com/product/xKvRsY/intel-cpu-bx80621e52640,$43.31 ,"
6
","
2.5 GHz
","
3 GHz
",N/A,N/A,"
95 W
","
Intel
",BX80621E52640,"
None
",N/A,"
Yes
","
No
",Boxed,"
32 nm
","
No
",N/A,19
Intel Core i9-9960X,//cdna.pcpartpicker.com/static/forever/images/product/c30188135bf5f40e24fb3daa3fc225a1.256p.jpg,https://pcpartpicker.com/product/BBndnQ/intel-core-i9-9960x-31-thz-16-core-oemtray-processor-cd8067304126500,$998.95 ,"
16
","
3.1 GHz
","
4.4 GHz
",N/A,N/A,"
165 W
","
Intel
",CD8067304126500,"
None
","
128 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Core i5-8400T,https://images-eu.ssl-images-amazon.com/images/I/41wcBEPMK1L.jpg,https://pcpartpicker.com/product/4mF48d/intel-core-i5-8400t-17ghz-6-core-oemtray-processor-cm8068403358913,$139.00 ,"
6
","
1.7 GHz
","
3.3 GHz
",N/A,N/A,"
35 W
","
Intel
",CM8068403358913,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
AMD Athlon 3000G (14nm),//cdna.pcpartpicker.com/static/forever/images/product/888490b03ca5aedfcd98c2f7363d2ed9.256p.jpg,https://pcpartpicker.com/product/GdFKHx/amd-athlon-3000g-35-ghz-dual-core-oemtray-processor-yd3000c6m2ofh,,"
2
","
3.5 GHz
",N/A,N/A,N/A,"
35 W
","
AMD
",YD3000C6M2OFH,"
Radeon Vega 3
","
128 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,19
Intel Xeon E5-2620,https://images-na.ssl-images-amazon.com/images/I/512GDUjEwAL.jpg,https://pcpartpicker.com/product/2Q8Zxr/intel-cpu-cm8063501288301,$36.75 ,"
6
","
2 GHz
",N/A,N/A,N/A,"
95 W
","
Intel
",CM8063501288301,"
None
",N/A,"
Yes
","
No
",OEM/Tray,"
32 nm
","
No
",N/A,18
AMD Athlon X4 950,https://m.media-amazon.com/images/I/41-tx1haqaL.jpg,https://pcpartpicker.com/product/ZXgPxr/amd-athlon-x4-950-35ghz-quad-core-processor-ad950xagabbox,,"
4
","
3.5 GHz
","
3.8 GHz
",N/A,N/A,"
65 W
","
AMD
",AD950XAGABBOX,"
None
",N/A,"
No
","
Yes
",Boxed,"
28 nm
","
Yes
",N/A,19
AMD Ryzen 7 2700,/static/forever/img/no-image.png,https://pcpartpicker.com/product/FwrYcf/amd-ryzen-7-2700-32-ghz-8-core-oemtray-processor-yd2700bbm88af,,"
8
","
3.2 GHz
","
4.1 GHz
",N/A,N/A,"
65 W
","
AMD
",YD2700BBM88AF,"
None
","
64 GB
","
No
","
No
",OEM/Tray,"
12 nm
","
No
",N/A,20
AMD Ryzen 7 PRO 7745,/static/forever/img/no-image.png,https://pcpartpicker.com/product/TvDQzy/amd-ryzen-7-pro-7745-38-ghz-8-core-processor-100-100000599mpk,,"
8
","
3.8 GHz
","
5.3 GHz
",N/A,N/A,"
65 W
","
AMD
",100-100000599MPK,"
Radeon
","
128 GB
","
Yes
","
Yes
",Boxed,"
5 nm
","
Yes
",N/A,20
Intel Xeon E-2124,//cdna.pcpartpicker.com/static/forever/images/product/f9ef16852c818a0bb0bba04c406222a7.256p.jpg,https://pcpartpicker.com/product/XY448d/intel-xeon-e-2124-33-thz-quad-core-processor-bx80684e2124,$110.00 ,"
4
","
3.3 GHz
","
4.3 GHz
",N/A,N/A,"
71 W
","
Intel
",BX80684E2124,"
None
","
64 GB
","
Yes
","
No
",Boxed,"
14 nm
","
No
",N/A,20
Intel Core i3-10320,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,https://pcpartpicker.com/product/tZPgXL/intel-core-i3-10320-38-ghz-quad-core-processor-bx8070110320,$120.00 ,"
4
","
3.8 GHz
","
4.6 GHz
",N/A,N/A,"
65 W
","
Intel
",BX8070110320,"
Intel UHD Graphics 630
","
128 GB
","
No
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,20
AMD Athlon X2 370K,https://m.media-amazon.com/images/I/41luWiOR2lL.jpg,https://pcpartpicker.com/product/kx7wrH/amd-cpu-ad370kokhlbox,,"
2
","
4.2 GHz
",N/A,N/A,N/A,"
65 W
","
AMD
",AD370KOKHLBOX,"
None
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Core i5-4670S,https://m.media-amazon.com/images/I/41TuK9whOAL.jpg,https://pcpartpicker.com/product/vf8H99/intel-cpu-cm8064601465703,,"
4
","
3.1 GHz
","
3.8 GHz
",N/A,N/A,"
65 W
","
Intel
",CM8064601465703,"
Intel HD Graphics 4600
",N/A,"
No
","
No
",OEM/Tray,"
22 nm
","
No
",N/A,19
Intel Core i5-7400,/static/forever/img/no-image.png,https://pcpartpicker.com/product/gWjWGX/intel-core-i5-7400-30ghz-quad-core-oemtray-processor-cm8067702867050,$110.00 ,"
4
","
3 GHz
","
3.5 GHz
",N/A,N/A,"
65 W
","
Intel
",CM8067702867050,"
Intel HD Graphics 630
","
64 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
AMD Phenom II X6 1100T Black,/static/forever/img/no-image.png,https://pcpartpicker.com/product/NGTmP6/amd-cpu-hde00zfbgrbox,,"
6
","
3.3 GHz
",N/A,N/A,N/A,"
125 W
","
AMD
",HDE00ZFBGRBOX,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Core i5-2300,https://images-na.ssl-images-amazon.com/images/I/51TwNiLWgtL.jpg,https://pcpartpicker.com/product/WRPfrH/intel-cpu-bx80623i52300,,"
4
","
2.8 GHz
",N/A,N/A,N/A,"
95 W
","
Intel
",BX80623I52300,"
Intel HD Graphics 2000
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Core i7-990X Extreme Edition,https://images-na.ssl-images-amazon.com/images/I/51sVTOAhw6L.jpg,https://pcpartpicker.com/product/P2ckcf/intel-cpu-bx80613i7990x,,"
6
","
3.467 GHz
",N/A,N/A,N/A,"
130 W
","
Intel
",BX80613I7990X,"
None
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
AMD A10-6800K,https://m.media-amazon.com/images/I/419cMW7h6CS.jpg,https://pcpartpicker.com/product/YjmLrH/amd-cpu-ad680kwohlbox,,"
4
","
4.1 GHz
",N/A,N/A,N/A,"
100 W
","
AMD
",AD680KWOHLBOX,"
Radeon HD 8670D
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Xeon E5-2640 V4,//cdna.pcpartpicker.com/static/forever/images/product/fe223eeb7f193ce69814603b89175472.256p.jpg,https://pcpartpicker.com/product/J6rcCJ/intel-cpu-bx80660e52640v4,,"
10
","
2.4 GHz
","
3.4 GHz
",N/A,N/A,"
90 W
","
Intel
",BX80660E52640V4,"
None
","
1536 GB
","
Yes
","
No
",Boxed,"
14 nm
","
No
",N/A,20
Intel Core 2 Duo E6400,https://images-na.ssl-images-amazon.com/images/I/41w34SyzuFL.jpg,https://pcpartpicker.com/product/VV8Zxr/intel-cpu-bx80557e6400,$35.00 ,"
2
","
2.13 GHz
",N/A,N/A,N/A,"
65 W
","
Intel
",BX80557E6400,"
None
",N/A,"
No
","
Yes
",Boxed,"
65 nm
","
Yes
",N/A,18
Intel Core i3-6100,https://m.media-amazon.com/images/I/41QOKLh7MiL.jpg,https://pcpartpicker.com/product/Xjp323/intel-cpu-cm8066201927202,$98.95 ,"
2
","
3.7 GHz
",N/A,N/A,N/A,"
51 W
","
Intel
",CM8066201927202,"
Intel HD Graphics 530
","
64 GB
","
Yes
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,19
Intel Celeron G4920,//cdna.pcpartpicker.com/static/forever/images/product/f5a45cd5b3a3c4364da8141e7ba9dec4.256p.jpg,https://pcpartpicker.com/product/dMTPxr/intel-celeron-g4920-32ghz-dual-core-processor-bx80684g4920,$50.77 ,"
2
","
3.2 GHz
",N/A,N/A,N/A,"
65 W
","
Intel
",BX80684G4920,"
Intel UHD Graphics 610
","
64 GB
","
Yes
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
Intel Core i5-6400,//cdna.pcpartpicker.com/static/forever/images/product/fd51d44541807d00d4b265d071f313fa.256p.jpg,https://pcpartpicker.com/product/kYH48d/intel-cpu-cm8066201920506,,"
4
","
2.7 GHz
","
3.3 GHz
",N/A,N/A,"
65 W
","
Intel
",CM8066201920506,"
Intel HD Graphics 530
","
64 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
AMD A10-7860k,//cdna.pcpartpicker.com/static/forever/images/product/53c132f7ad43d938736056861975dd21.256p.jpg,https://pcpartpicker.com/product/dTnG3C/amd-cpu-ad786kybjcsbx,,"
4
","
3.6 GHz
","
4 GHz
",N/A,N/A,"
65 W
","
AMD
",AD786KYBJCSBX,"
Radeon R7 (on-die)
",N/A,"
No
","
Yes
",Boxed,"
28 nm
","
Yes
",N/A,19
Intel Celeron G1610,https://m.media-amazon.com/images/I/41iXCTtpPHL.jpg,https://pcpartpicker.com/product/yCH323/intel-cpu-bx80637g1610,$37.00 ,"
2
","
2.6 GHz
",N/A,N/A,N/A,"
55 W
","
Intel
",BX80637G1610,"
Intel HD Graphics
",N/A,"
No
","
Yes
",Boxed,"
22 nm
","
Yes
",N/A,18
Intel Core i9-10850KA Avengers Limited Edition,//cdna.pcpartpicker.com/static/forever/images/product/8f204a977a78a6c02837f3352fe91d94.256p.jpg,https://pcpartpicker.com/product/vwsnTW/intel-core-i9-10850k-36-ghz-10-core-processor-bx8070110850ka,,"
10
","
3.6 GHz
","
5.2 GHz
",N/A,N/A,"
125 W
","
Intel
",BX8070110850KA,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",Boxed,"
14 nm
","
No
",N/A,21
Intel Pentium E5400,/static/forever/img/no-image.png,https://pcpartpicker.com/product/KjMFf7/intel-cpu-bx80571e5400,,"
2
","
2.7 GHz
",N/A,N/A,N/A,"
65 W
","
Intel
",BX80571E5400,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Core 2 Extreme QX9770,https://images-na.ssl-images-amazon.com/images/I/51QzGdJFBrL.jpg,https://pcpartpicker.com/product/8fLypg/intel-cpu-bx80569qx9770,,"
4
","
3.2 GHz
",N/A,N/A,N/A,"
136 W
","
Intel
",BX80569QX9770,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Core i7-4771,https://m.media-amazon.com/images/I/51yvroZ9-GL.jpg,https://pcpartpicker.com/product/F6kD4D/intel-cpu-bx80646i74771,,"
4
","
3.5 GHz
","
3.9 GHz
",N/A,N/A,"
84 W
","
Intel
",BX80646I74771,"
Intel HD Graphics 4600
",N/A,"
No
","
Yes
",Boxed,"
22 nm
","
Yes
",N/A,19
Intel Core i5-9400,//cdna.pcpartpicker.com/static/forever/images/product/a289a7b9f1db29fdb4364c09d7d012f8.256p.jpg,https://pcpartpicker.com/product/VwrYcf/intel-core-i5-9400-29-ghz-6-core-oemtray-processor-cm8068403875505,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Intel Core i3-6100T,//cdna.pcpartpicker.com/static/forever/images/product/21c42783caec96041a16f90517a85bca.256p.jpg,https://pcpartpicker.com/product/vp8H99/intel-cpu-bx80662i36100t,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
