Name,Image URL,Product URL,Price,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,TDP,Manufacturer,Part #,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Specs Number
Intel Core i7-860,https://m.media-amazon.com/images/I/51Pf-Co5+iL.jpg,https://pcpartpicker.com/product/dZmLrH/intel-cpu-bx80605i7860,,"
4
","
2.8 GHz
",N/A,N/A,N/A,"
95 W
","
Intel
",BX80605I7860,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Xeon E5-1630 V4,https://images-eu.ssl-images-amazon.com/images/I/51h8RpV1PXL.jpg,https://pcpartpicker.com/product/cxVD4D/intel-xeon-e5-1630-v4-37ghz-quad-core-oemtray-processor-cm8066002395300,$229.95 ,"
4
","
3.7 GHz
","
4 GHz
",N/A,N/A,"
140 W
","
Intel
",CM8066002395300,"
None
","
1536 GB
","
Yes
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
AMD Athlon X4 860K,//cdna.pcpartpicker.com/static/forever/images/product/985d3ca5a71ef4ef46809b54d5cf0602.256p.jpg,https://pcpartpicker.com/product/kWGj4D/amd-cpu-ad860kxbjabox,,"
4
","
3.7 GHz
","
4 GHz
",N/A,N/A,"
95 W
","
AMD
",AD860KXBJABOX,"
None
",N/A,"
No
","
Yes
",Boxed,"
28 nm
","
Yes
",N/A,19
Intel Core i3-9350KF,//cdna.pcpartpicker.com/static/forever/images/product/b832802a56c229f75ef6adf54fad250c.256p.jpg,https://pcpartpicker.com/product/DDtQzy/intel-core-i3-9350kf-4-ghz-quad-core-processor-bx80684i39350kf,$206.00 ,"
4
","
4 GHz
","
4.6 GHz
",N/A,N/A,"
91 W
","
Intel
",BX80684I39350KF,"
None
","
64 GB
","
Yes
","
No
",Boxed,"
14 nm
","
No
",N/A,20
AMD Athlon II 160u,/static/forever/img/no-image.png,https://pcpartpicker.com/product/T32rxr/amd-cpu-ad160ueak13gq,,"
1
","
1.8 GHz
",N/A,N/A,N/A,"
20 W
","
AMD
",AD160UEAK13GQ,"
None
",N/A,"
No
","
No
",OEM/Tray,"
45 nm
","
No
",N/A,18
Intel Xeon E5-2680 V3,/static/forever/img/no-image.png,https://pcpartpicker.com/product/QYcMnQ/intel-cpu-cm8064401439612,,"
12
","
2.5 GHz
","
3.3 GHz
",N/A,N/A,"
120 W
","
Intel
",CM8064401439612,"
None
",N/A,"
Yes
","
No
",OEM/Tray,"
22 nm
","
No
",N/A,19
Intel Core i3-8100T,https://m.media-amazon.com/images/I/51rYvBRk8LL.jpg,https://pcpartpicker.com/product/ftKcCJ/intel-core-i3-8100t-31ghz-quad-core-oemtray-processor-cm8068403377415,,"
4
","
3.1 GHz
",N/A,N/A,N/A,"
35 W
","
Intel
",CM8068403377415,"
Intel UHD Graphics 630
","
64 GB
","
Yes
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,19
Intel Celeron G4900,//cdna.pcpartpicker.com/static/forever/images/product/f5a45cd5b3a3c4364da8141e7ba9dec4.256p.jpg,https://pcpartpicker.com/product/y8448d/intel-celeron-g4900-31ghz-dual-core-processor-bx80684g4900,$72.55 ,"
2
","
3.1 GHz
",N/A,N/A,N/A,"
65 W
","
Intel
",BX80684G4900,"
Intel UHD Graphics 610
","
64 GB
","
Yes
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
AMD Ryzen 3 2200G,/static/forever/img/no-image.png,https://pcpartpicker.com/product/9GPKHx/amd-ryzen-3-2200g-35ghz-quad-core-oemtray-processor-yd2200c4m4mfb,,"
4
","
3.5 GHz
","
3.7 GHz
",N/A,N/A,"
65 W
","
AMD
",YD2200C4M4MFB,"
Radeon Vega 8
",N/A,"
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,19
AMD FX-8320,https://m.media-amazon.com/images/I/21JD7tp2PWL.jpg,https://pcpartpicker.com/product/s8h9TW/amd-cpu-fd8320frw8khk,$106.55 ,"
8
","
3.5 GHz
",N/A,N/A,N/A,"
125 W
","
AMD
",FD8320FRW8KHK,"
None
",N/A,"
Yes
","
No
",OEM/Tray,"
32 nm
","
No
",N/A,18
Intel Core i5-6500T,/static/forever/img/no-image.png,https://pcpartpicker.com/product/xn7CmG/intel-cpu-cm8066201920600,,"
4
","
2.5 GHz
","
3.1 GHz
",N/A,N/A,"
35 W
","
Intel
",CM8066201920600,"
Intel HD Graphics 530
","
64 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
Intel Core i5-760,//cdna.pcpartpicker.com/static/forever/images/product/f7b07148337e7ce06429682d5c2c24d1.256p.jpg,https://pcpartpicker.com/product/R6zv6h/intel-cpu-bx80605i5760,$100.00 ,"
4
","
2.8 GHz
",N/A,N/A,N/A,"
95 W
","
Intel
",BX80605I5760,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Core i5-2400S,//cdna.pcpartpicker.com/static/forever/images/product/6423051221542ab9daa999922c7ca709.256p.jpg,https://pcpartpicker.com/product/B3phP6/intel-cpu-bx80623i52400s,$70.00 ,"
4
","
2.5 GHz
",N/A,N/A,N/A,"
65 W
","
Intel
",BX80623I52400S,"
Intel HD Graphics 2000
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Core i3-7100,https://m.media-amazon.com/images/I/41QBIqWIoCL.jpg,https://pcpartpicker.com/product/PqVBD3/intel-core-i3-7100-39ghz-dual-core-oemtray-processor-cm8067703014612,$74.90 ,"
2
","
3.9 GHz
",N/A,N/A,N/A,"
51 W
","
Intel
",CM8067703014612,"
Intel HD Graphics 630
","
64 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,19
AMD A6-3670K,https://images-fe.ssl-images-amazon.com/images/I/416tKCpvcUL.jpg,https://pcpartpicker.com/product/QG8Zxr/amd-cpu-ad3670wngxbox,,"
4
","
2.7 GHz
",N/A,N/A,N/A,"
100 W
","
AMD
",AD3670WNGXBOX,"
Radeon HD 6530D
",N/A,"
No
","
Yes
",Boxed,"
32 nm
","
Yes
",N/A,18
Intel Core 2 Quad Q9650,/static/forever/img/no-image.png,https://pcpartpicker.com/product/gvGkcf/intel-cpu-bx80569q9650,,"
4
","
3 GHz
",N/A,N/A,N/A,"
95 W
","
Intel
",BX80569Q9650,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Pentium G4400,//cdna.pcpartpicker.com/static/forever/images/product/c96e3edad99c0ec51123f5b9c2d4a811.256p.jpg,https://pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400,,"
2
","
3.3 GHz
",N/A,N/A,N/A,"
54 W
","
Intel
",BX80662G4400,"
Intel HD Graphics 510
","
64 GB
","
Yes
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
Intel Core i7-10700K Avengers Collector's Edition,//cdna.pcpartpicker.com/static/forever/images/product/1b202264105e2883c973d93a072aeaf9.256p.jpg,https://pcpartpicker.com/product/j6Tp99/intel-core-i7-10700k-avengers-collectors-edition-38-ghz-8-core-processor-bx8070110700ka,$741.00 ,"
8
","
3.8 GHz
","
5.1 GHz
",N/A,N/A,"
125 W
","
Intel
",BX8070110700KA,"
Intel UHD Graphics 630
","
128 GB
","
No
","
No
",Boxed,"
14 nm
","
No
",N/A,21
AMD Athlon X4 970,/static/forever/img/no-image.png,https://pcpartpicker.com/product/jkCrxr/amd-athlon-x4-970-38ghz-quad-core-oemtray-processor-ad970xaum44ab,,"
4
","
3.8 GHz
","
4 GHz
",N/A,N/A,"
65 W
","
AMD
",AD970XAUM44AB,"
None
",N/A,"
No
","
No
",OEM/Tray,"
28 nm
","
No
",N/A,19
Intel Celeron 440,/static/forever/img/no-image.png,https://pcpartpicker.com/product/RWsKHx/intel-cpu-hh80557rg041512,$29.98 ,"
1
","
2 GHz
",N/A,N/A,N/A,"
35 W
","
Intel
",HH80557RG041512,"
None
",N/A,"
No
","
No
",OEM/Tray,"
65 nm
","
No
",N/A,18
Intel Core 2 Duo E7500,https://m.media-amazon.com/images/I/41-fov5JW3L.jpg,https://pcpartpicker.com/product/dLNp99/intel-cpu-bx80571e7500,$99.63 ,"
2
","
2.93 GHz
",N/A,N/A,N/A,"
65 W
","
Intel
",BX80571E7500,"
None
",N/A,"
No
","
Yes
",Boxed,"
45 nm
","
Yes
",N/A,18
Intel Xeon E5-1650 V3,https://m.media-amazon.com/images/I/51rLr1NagHL.jpg,https://pcpartpicker.com/product/Cv648d/intel-cpu-bx80644e51650v3,$54.96 ,"
6
","
3.5 GHz
","
3.8 GHz
",N/A,N/A,"
140 W
","
Intel
",BX80644E51650V3,"
None
",N/A,"
Yes
","
No
",Boxed,"
22 nm
","
No
",N/A,19
Intel Celeron G5925,//cdna.pcpartpicker.com/static/forever/images/product/c314096631c5cce658b1bf1cb252bf4c.256p.jpg,https://pcpartpicker.com/product/FpXYcf/intel-celeron-g5925-36-ghz-dual-core-processor-bx80701g5925,$53.99 ,"
2
","
3.6 GHz
",N/A,N/A,N/A,"
58 W
","
Intel
",BX80701G5925,"
Intel UHD Graphics 610
","
128 GB
","
No
","
Yes
",Boxed,"
14 nm
","
Yes
",N/A,19
Intel Xeon E-2176G,//cdna.pcpartpicker.com/static/forever/images/product/13a83017f8e2dafceb43a1c53bbde026.256p.jpg,https://pcpartpicker.com/product/rPyV3C/intel-xeon-e-2176g-37-thz-6-core-processor-bx80684e2176g,$289.55 ,"
6
","
3.7 GHz
","
4.7 GHz
",N/A,N/A,"
80 W
","
Intel
",BX80684E2176G,"
Intel HD Graphics P630
","
64 GB
","
Yes
","
No
",Boxed,"
14 nm
","
No
",N/A,20
AMD A10-9700,//cdna.pcpartpicker.com/static/forever/images/product/f1f3a3a9dcb445a935834152bbc64f05.256p.jpg,https://pcpartpicker.com/product/n9s8TW/amd-a10-9700-35ghz-quad-core-processor-ad9700agabbox,,"
4
","
3.5 GHz
","
3.8 GHz
",N/A,N/A,"
65 W
","
AMD
",AD9700AGABBOX,"
Radeon R7 (on-die)
",N/A,"
No
","
Yes
",Boxed,"
28 nm
","
Yes
",N/A,19
Intel Core i5-4570T,https://m.media-amazon.com/images/I/51vb+UYTxSL.jpg,https://pcpartpicker.com/product/PhM323/intel-cpu-bx80646i54570t,$79.00 ,"
2
","
2.9 GHz
",N/A,N/A,N/A,"
35 W
","
Intel
",BX80646I54570T,"
Intel HD Graphics 4600
",N/A,"
No
","
Yes
",Boxed,"
22 nm
","
Yes
",N/A,18
Intel Xeon E5-1620 V3,https://m.media-amazon.com/images/I/51rLr1NagHL.jpg,https://pcpartpicker.com/product/PcCrxr/intel-cpu-bx80644e51620v3,$69.02 ,"
4
","
3.5 GHz
","
3.6 GHz
",N/A,N/A,"
140 W
","
Intel
",BX80644E51620V3,"
None
",N/A,"
Yes
","
No
",Boxed,"
22 nm
","
No
",N/A,19
Intel Core i5-7600K,//cdna.pcpartpicker.com/static/forever/images/product/a9e3ce1189342ff04c81e37b12d2c162.256p.jpg,https://pcpartpicker.com/product/yzGj4D/intel-core-i5-7600k-38ghz-quad-core-oemtray-processor-cm8067702868219,,"
4
","
3.8 GHz
","
4.2 GHz
",N/A,N/A,"
91 W
","
Intel
",CM8067702868219,"
Intel HD Graphics 630
","
64 GB
","
No
","
No
",OEM/Tray,"
14 nm
","
No
",N/A,20
