Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
MSI GeForce RTX 3060 Ventus 2X 12G,//cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc,$289.00 ,MSI,"RTX3060Ventus2X12GOC, GeForce RTX 3060 VENTUS 2X 12G OC, V397-022R, 912-V397-039",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1777 MHz,15000 MHz,PCIe x16,Black,G-Sync,235 mm,170 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,https://pcpartpicker.com/product/FnLdnQ/gigabyte-windforce-oc-geforce-rtx-4070-12-gb-video-card-gv-n4070wf3oc-12gd,$581.19 ,Gigabyte,GV-N4070WF3OC-12GD,GeForce RTX 4070,12 GB,GDDR6X,1920 MHz,2490 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,200 W,2,3,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,3,N/A,N/A,N/A
Asus ROG STRIX GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/9f7b45a2816c45ea9449e8ca2bf6f616.256p.jpg,https://pcpartpicker.com/product/ZKWzK8/asus-rog-strix-gaming-oc-geforce-rtx-4090-24-gb-video-card-rog-strix-rtx4090-o24g-gaming,"$1,979.99 ",Asus,"ROG-STRIX-RTX4090-O24G-GAMING, 90YV0ID0-M0NA00, 90YV0ID0-M0AA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2640 MHz,21000 MHz,PCIe x16,Black,G-Sync,358 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/6b90f36fbe6c1408ac40ab85c762807c.256p.jpg,https://pcpartpicker.com/product/KvcgXL/gigabyte-windforce-oc-geforce-rtx-4070-ti-super-16-gb-video-card-gv-n407tswf3oc-16gd,$799.99 ,Gigabyte,GV-N407TSWF3OC-16GD,GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2625 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,285 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/b836633d335617f71eb7b4e5f0ba43b7.256p.jpg,https://pcpartpicker.com/product/X7CZxr/asus-dual-oc-geforce-rtx-4060-8-gb-video-card-dual-rtx4060-o8g,$309.99 ,Asus,"DUAL-RTX4060-O8G, 90YV0JC0-M0NA00",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2535 MHz,N/A,PCIe x16,Black,G-Sync,227 mm,115 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,https://pcpartpicker.com/product/mHpQzy/gigabyte-gaming-oc-radeon-rx-7800-xt-16-gb-video-card-gv-r78xtgaming-oc-16gd,$499.00 ,Gigabyte,GV-R78XTGAMING OC-16GD,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2565 MHz,N/A,PCIe x16,Black,FreeSync,302 mm,263 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/c17472cd578b7847c10089750b161a2f.256p.jpg,https://pcpartpicker.com/product/HCkH99/gigabyte-windforce-oc-geforce-rtx-4070-super-12-gb-video-card-gv-n407swf3oc-12gd,$599.99 ,Gigabyte,GV-N407SWF3OC-12GD,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2505 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,220 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
ASRock Challenger D,//cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,https://pcpartpicker.com/product/D9ytt6/asrock-radeon-rx-6600-8-gb-challenger-d-video-card-rx6600-cld-8g,$189.99 ,ASRock,"RX6600 CLD 8G, 90-GA2RZZ-00UANF",Radeon RX 6600,8 GB,GDDR6,1626 MHz,N/A,N/A,PCIe x16,Black,FreeSync,269 mm,132 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
PNY VCNRTX6000ADA-PB,//cdna.pcpartpicker.com/static/forever/images/product/6ef5b8f1b94982c71019a0d9ac2795e2.256p.jpg,https://pcpartpicker.com/product/82bRsY/pny-vcnrtx6000ada-pb-rtx-6000-ada-generation-48-gb-video-card-vcnrtx6000ada-pb,"$9,999.00 ",PNY,VCNRTX6000ADA-PB,RTX 6000 Ada Generation,48 GB,GDDR6,915 MHz,2505 MHz,20000 MHz,PCIe x16,Black / Gold,None,267 mm,300 W,2,2,1 Fan,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A
XFX Speedster SWFT 309,https://m.media-amazon.com/images/I/41Gcn+794SS.jpg,https://pcpartpicker.com/product/RFGbt6/xfx-radeon-rx-6700-xt-12-gb-speedster-swft-309-video-card-rx-67xtyjfdv,$299.99 ,XFX,RX-67XTYJFDV,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,2581 MHz,N/A,PCIe x16,Black,FreeSync,304 mm,230 W,2,2,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA Founders Edition,//cdna.pcpartpicker.com/static/forever/images/product/07ff8dc03a65e34edc811c97d838af9a.256p.jpg,https://pcpartpicker.com/product/BCGbt6/nvidia-founders-edition-geforce-rtx-4090-24-gb-video-card-900-1g136-2530-000,"$1,972.99 ",NVIDIA,900-1G136-2530-000,GeForce RTX 4090,24 GB,GDDR6X,2230 MHz,2520 MHz,N/A,PCIe x16,Black / Silver,G-Sync,304 mm,450 W,3,3,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte EAGLE,//cdna.pcpartpicker.com/static/forever/images/product/80f174eea93a4a0981c63721c9a9805d.256p.jpg,https://pcpartpicker.com/product/j89wrH/gigabyte-eagle-geforce-rtx-4060-ti-8-gb-video-card-gv-n406teagle-8gd,$390.99 ,Gigabyte,GV-N406TEAGLE-8GD,GeForce RTX 4060 Ti,8 GB,GDDR6,2310 MHz,N/A,N/A,PCIe x16,Black,G-Sync,272 mm,165 W,2,2,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
Asus ROG STRIX GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/2aab4ec16f5be8f6d95d1e5848c2d9be.256p.jpg,https://pcpartpicker.com/product/V8hFf7/asus-rog-strix-gaming-oc-geforce-rtx-4090-24-gb-video-card-rog-strix-rtx4090-o24g-white,"$2,029.00 ",Asus,"rog-strix-rtx4090-o24g-white, 90YV0ID2-M0NA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2640 MHz,N/A,PCIe x16,White,G-Sync,358 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte AERO OC,//cdna.pcpartpicker.com/static/forever/images/product/13a70d0303a8922898892321f6b35104.256p.jpg,https://pcpartpicker.com/product/xh3NnQ/gigabyte-aero-oc-geforce-rtx-4060-8-gb-video-card-gv-n4060aero-oc-8gd,$319.99 ,Gigabyte,GV-N4060AERO OC-8GD,GeForce RTX 4060,8 GB,GDDR6,1830 MHz,N/A,N/A,PCIe x16,White,G-Sync,281 mm,115 W,2,2,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
XFX Speedster SWFT 210 Core,//cdna.pcpartpicker.com/static/forever/images/product/286555a12154c13311feaf62beab4ee9.256p.jpg,https://pcpartpicker.com/product/NDvdnQ/xfx-radeon-rx-6650-xt-8-gb-speedster-swft-210-core-video-card-rx-665x8dfdy,$219.99 ,XFX,RX-665X8DFDY,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2635 MHz,N/A,PCIe x16,Black / Silver,FreeSync,241 mm,180 W,2,2,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
Asus TUF GAMING,//cdna.pcpartpicker.com/static/forever/images/product/4aea17ad419ee3bf159a407dc643aa80.256p.jpg,https://pcpartpicker.com/product/kppQzy/asus-tuf-gaming-geforce-rtx-4080-super-16-gb-video-card-tuf-rtx4080s-16g-gaming,$999.99 ,Asus,"tuf-rtx4080s-16g-gaming, 90YV0KA1-M0AA00, 90YV0KA1-M0NA00",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2580 MHz,N/A,PCIe x16,Black,G-Sync,348 mm,320 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte EAGLE,//cdna.pcpartpicker.com/static/forever/images/product/232dd1c4ff3c7494fae18e5e99c878ce.256p.jpg,https://pcpartpicker.com/product/G9ytt6/gigabyte-radeon-rx-6600-8-gb-eagle-video-card-gv-r66eagle-8gd,$199.99 ,Gigabyte,GV-R66EAGLE-8GD,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,14000 MHz,PCIe x16,Black / Silver,FreeSync,282 mm,132 W,2,2,3 Fans,1 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
XFX Speedster MERC 310 Black Edition,https://m.media-amazon.com/images/I/41KTQkxkKHL.jpg,https://pcpartpicker.com/product/GtXJ7P/xfx-speedster-merc-310-black-edition-radeon-rx-7900-xtx-24-gb-video-card-rx-79xmercb9,$926.77 ,XFX,RX-79XMERCB9,Radeon RX 7900 XTX,24 GB,GDDR6,2300 MHz,2615 MHz,N/A,PCIe x16,Black / Silver,FreeSync,344 mm,355 W,2,3,3 Fans,3 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/893108b2bc445db992e277a36594ff07.256p.jpg,https://pcpartpicker.com/product/Hc7scf/asus-dual-oc-geforce-rtx-4070-super-12-gb-video-card-dual-rtx4070s-o12g,$609.00 ,Asus,"dual-rtx4070s-o12g, 90YV0K82-M0NA00, 90YV0K82-M0AA00",GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,267 mm,220 W,2,3,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/4255608ed3c98ddaaf0dc26bc7d2c982.256p.jpg,https://pcpartpicker.com/product/VTFmP6/gigabyte-gaming-oc-radeon-rx-7700-xt-12-gb-video-card-gv-r77xtgaming-oc-12gd,$409.99 ,Gigabyte,GV-R77XTGAMING OC-12GD,Radeon RX 7700 XT,12 GB,GDDR6,1700 MHz,2599 MHz,N/A,PCIe x16,Black,FreeSync,302 mm,245 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
XFX GTS XXX,//cdna.pcpartpicker.com/static/forever/images/product/7a8d66854d65f497aca573e84772d861.256p.jpg,https://pcpartpicker.com/product/MsWfrH/xfx-gts-xxx-radeon-rx-580-8-gb-video-card-rx-580p8dfd6,$129.99 ,XFX,RX-580P8DFD6,Radeon RX 580,8 GB,GDDR5,1366 MHz,1386 MHz,8100 MHz,PCIe x16,Black / Red,FreeSync,270 mm,185 W,2,2,2 Fans,1 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
XFX Speedster SWFT 319,https://m.media-amazon.com/images/I/41aCdMMAvYL.jpg,https://pcpartpicker.com/product/Hg92FT/xfx-radeon-rx-6800-16-gb-speedster-swft-319-video-card-rx-68xlaqfd9,$369.99 ,XFX,RX-68XLAQFD9,Radeon RX 6800,16 GB,GDDR6,1700 MHz,2105 MHz,16000 MHz,PCIe x16,Black,FreeSync,340 mm,250 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
MSI VENTUS 2X BLACK OC,//cdna.pcpartpicker.com/static/forever/images/product/c89cc9ea2051206aebd4189ddf05f76b.256p.jpg,https://pcpartpicker.com/product/7s88TW/msi-ventus-2x-black-oc-geforce-rtx-4060-8-gb-video-card-rtx-4060-ventus-2x-black-8g-oc,$293.00 ,MSI,"RTX 4060 VENTUS 2X BLACK 8G OC, GeForce RTX 4060 VENTUS 2X BLACK 8G OC, 912-V516-004, V516-004R",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2505 MHz,N/A,PCIe x16,Black,G-Sync,199 mm,115 W,2,2,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/1e3e35590c40b7b20e6910ecea2ae02a.256p.jpg,https://pcpartpicker.com/product/r9cgXL/gigabyte-windforce-oc-geforce-rtx-4060-8-gb-video-card-gv-n4060wf2oc-8gd,$299.99 ,Gigabyte,GV-N4060WF2OC-8GD,GeForce RTX 4060,8 GB,GDDR6,1830 MHz,N/A,N/A,PCIe x16,Black,G-Sync,192 mm,115 W,2,2,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
Sapphire PULSE,//cdna.pcpartpicker.com/static/forever/images/product/d8c578ddd6b41bcf2b3467084f13e2b2.256p.jpg,https://pcpartpicker.com/product/3BQcCJ/sapphire-pulse-radeon-rx-7900-xt-20-gb-video-card-11323-02-20g,$689.99 ,Sapphire,11323-02-20G,Radeon RX 7900 XT,20 GB,GDDR6,2000 MHz,2450 MHz,N/A,PCIe x16,Black / Red,FreeSync,313 mm,331 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/5909467f4e89b69ef1dc59517743c877.256p.jpg,https://pcpartpicker.com/product/nhtLrH/asus-dual-oc-geforce-rtx-4070-12-gb-video-card-dual-rtx4070-o12g,$609.99 ,Asus,"dual-rtx4070-o12g, 90YV0IZ2-M0NA00",GeForce RTX 4070,12 GB,GDDR6X,2520 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,267 mm,200 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
MSI RTX 3060 Ventus 3X 12G OC,//cdna.pcpartpicker.com/static/forever/images/product/24f2250843caa631f82d234bc781e9d0.256p.jpg,https://pcpartpicker.com/product/tkTp99/msi-geforce-rtx-3060-12-gb-ventus-3x-oc-video-card-rtx3060ventus3x12goc,$299.00 ,MSI,"RTX3060Ventus3X12GOC, GeForce RTX 3060 VENTUS 3X 12G OC, V397-031R, G3060V3X12C, 912-V397-038",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1807 MHz,15000 MHz,PCIe x16,Black,G-Sync,316 mm,170 W,2,2,3 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Asus TUF GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/b0789be09cf15d356b010a73a7d3c96f.256p.jpg,https://pcpartpicker.com/product/9ksV3C/asus-tuf-gaming-oc-geforce-rtx-4070-ti-super-16-gb-video-card-tuf-rtx4070tis-o16g-gaming,$849.99 ,Asus,"tuf-rtx4070tis-o16g-gaming, 90YV0KF0-M0AA00, 90YV0KF0-M0NA00",GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2670 MHz,N/A,PCIe x16,Black,G-Sync,305 mm,285 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
ASRock Challenger OC,//cdna.pcpartpicker.com/static/forever/images/product/fdfa1b89cb54fb91483ca1fbc6b57f3f.256p.jpg,https://pcpartpicker.com/product/8wDQzy/asrock-challenger-oc-radeon-rx-7700-xt-12-gb-video-card-rx7700xt-cl-12go,$399.99 ,ASRock,"RX7700XT CL 12GO, 90-GA4QZZ-00UANF",Radeon RX 7700 XT,12 GB,GDDR6,1700 MHz,2584 MHz,N/A,PCIe x16,Black,FreeSync,266 mm,245 W,2,3,2 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Asus ROG Matrix Platinum,//cdna.pcpartpicker.com/static/forever/images/product/3bb3797143155f95307420a9ca1cf6de.256p.jpg,https://pcpartpicker.com/product/HMmNnQ/asus-rog-matrix-platinum-geforce-rtx-4090-24-gb-video-card-rog-matrix-rtx4090-p24g-gaming,"$4,699.00 ",Asus,"ROG-MATRIX-RTX4090-P24G-GAMING, 90YV0ID7-M0NM00",GeForce RTX 4090,24 GB,GDDR6X,2670 MHz,2700 MHz,N/A,PCIe x16,Black / Silver,G-Sync,286 mm,450 W,2,3,360 mm Radiator,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/704d58fa45fdd33c35495cbc1dcbac18.256p.jpg,https://pcpartpicker.com/product/LLP8TW/asus-dual-oc-geforce-rtx-4070-12-gb-video-card-dual-rtx4070-o12g-white,$569.99 ,Asus,"dual-rtx4070-o12g-white, 90YV0IZ4-M0NA00",GeForce RTX 4070,12 GB,GDDR6X,2520 MHz,2550 MHz,N/A,PCIe x16,White,G-Sync,267 mm,200 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
XFX Speedster QICK 319 Core,//cdna.pcpartpicker.com/static/forever/images/product/165da78d04ac3356f2b48e70fd34d044.256p.jpg,https://pcpartpicker.com/product/4RrRsY/xfx-radeon-rx-6750-xt-12-gb-speedster-qick-319-core-video-card-rx-675xyjfdp,$309.99 ,XFX,RX-675XYJFDP,Radeon RX 6750 XT,12 GB,GDDR6,2150 MHz,2600 MHz,18000 MHz,PCIe x16,Black,FreeSync,323 mm,250 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/9d924ea894f7a9c206bb6cd8c71a4ced.256p.jpg,https://pcpartpicker.com/product/2TMMnQ/asus-dual-oc-geforce-rtx-4060-ti-8-gb-video-card-dual-rtx4060ti-o8g,$384.99 ,Asus,"DUAL-RTX4060TI-O8G, 90YV0J40-M0NA00",GeForce RTX 4060 Ti,8 GB,GDDR6,2310 MHz,2595 MHz,N/A,PCIe x16,Black,G-Sync,227 mm,165 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Zotac GAMING Trinity,//cdna.pcpartpicker.com/static/forever/images/product/15bd597b55a49b686ef8f2deb354637e.256p.jpg,https://pcpartpicker.com/product/Gy7scf/zotac-gaming-trinity-geforce-rtx-4080-super-16-gb-video-card-zt-d40820d-10p,"$1,112.44 ",Zotac,ZT-D40820D-10P,GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,307 mm,320 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
MSI VENTUS 3X OC,//cdna.pcpartpicker.com/static/forever/images/product/df6b1a3641b0a96940e7e5ce77685bad.256p.jpg,https://pcpartpicker.com/product/gvcgXL/msi-ventus-3x-oc-geforce-rtx-4080-super-16-gb-video-card-rtx-4080-super-16g-ventus-3x-oc,"$1,029.99 ",MSI,"RTX 4080 SUPER 16G VENTUS 3X OC, GeForce RTX 4080 SUPER 16G VENTUS 3X OC, G4080S16V3C, V511-221R, 912-V511-221",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2595 MHz,N/A,PCIe x16,Black,G-Sync,322 mm,320 W,3,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
Sapphire PULSE,https://m.media-amazon.com/images/I/41DfYxZXJqL.jpg,https://pcpartpicker.com/product/fcBzK8/sapphire-pulse-radeon-rx-7800-xt-16-gb-video-card-11330-02-20g,$509.99 ,Sapphire,11330-02-20G,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,N/A,N/A,PCIe x16,Black / Red,FreeSync,280 mm,266 W,2,3,2 Fans,2 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/e645fd6b99e7e5ef568d831b64800d41.256p.jpg,https://pcpartpicker.com/product/Fq26Mp/gigabyte-gaming-oc-radeon-rx-7900-gre-16-gb-video-card-gv-r79gregaming-oc-16gd,$549.99 ,Gigabyte,GV-R79GREGAMING OC-16GD,Radeon RX 7900 GRE,16 GB,GDDR6,1270 MHz,2391 MHz,18000 MHz,PCIe x16,Black,FreeSync,302 mm,260 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/b537a4618dfe7ddd95ae47d707977a18.256p.jpg,https://pcpartpicker.com/product/sqyH99/gigabyte-gaming-oc-radeon-rx-7600-xt-16-gb-video-card-gv-r76xtgaming-oc-16gd,$329.99 ,Gigabyte,GV-R76XTGAMING OC-16GD,Radeon RX 7600 XT,16 GB,GDDR6,1720 MHz,N/A,N/A,PCIe x16,Black / Gray,FreeSync,281 mm,190 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Gigabyte AERO OC,//cdna.pcpartpicker.com/static/forever/images/product/c27286c67afd39d56341cb4ee563d82c.256p.jpg,https://pcpartpicker.com/product/hbDQzy/gigabyte-aero-oc-geforce-rtx-4070-super-12-gb-video-card-gv-n407saero-oc-12gd,$659.99 ,Gigabyte,GV-N407SAERO OC-12GD,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2565 MHz,N/A,PCIe x16,White / Silver,G-Sync,300 mm,220 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Zotac GAMING Trinity OC,//cdna.pcpartpicker.com/static/forever/images/product/6638650c9f77a1ccae63db939b5198a2.256p.jpg,https://pcpartpicker.com/product/NrXV3C/zotac-gaming-trinity-oc-geforce-rtx-4070-ti-super-16-gb-video-card-zt-d40730q-10p,$789.99 ,Zotac,ZT-D40730Q-10P,GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2625 MHz,N/A,PCIe x16,White,G-Sync,307 mm,285 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte WINDFORCE V2,//cdna.pcpartpicker.com/static/forever/images/product/906bb4342e5338eb27a11a439afe80ff.256p.jpg,https://pcpartpicker.com/product/VxjRsY/gigabyte-windforce-v2-geforce-rtx-4080-super-16-gb-video-card-gv-n408swf3v2-16gd,"$1,192.00 ",Gigabyte,GV-N408SWF3V2-16GD,GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,330 mm,320 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Sapphire NITRO+,//cdna.pcpartpicker.com/static/forever/images/product/c4b5d01ef7e75bca37fc28846e827143.256p.jpg,https://pcpartpicker.com/product/F3fnTW/sapphire-nitro-radeon-rx-7900-xtx-24-gb-video-card-11322-01-20g,$999.99 ,Sapphire,"11322-01-20G, 11322-01-40G",Radeon RX 7900 XTX,24 GB,GDDR6,2300 MHz,2680 MHz,N/A,PCIe x16,Silver / Black,FreeSync,320 mm,420 W,3,4,3 Fans,3 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Sapphire PURE,//cdna.pcpartpicker.com/static/forever/images/product/200bc510ff5c74c70683f0ce4bd5efb6.256p.jpg,https://pcpartpicker.com/product/nh26Mp/sapphire-pure-radeon-rx-7800-xt-16-gb-video-card-11330-03-20g,$524.99 ,Sapphire,11330-03-20G,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2475 MHz,N/A,PCIe x16,White,FreeSync,320 mm,270 W,2,3,3 Fans,2 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA Founders Edition,//cdna.pcpartpicker.com/static/forever/images/product/48eea8a717330fc5dd5856b1fae65042.256p.jpg,https://pcpartpicker.com/product/wvgQzy/nvidia-geforce-rtx-3060-ti-8-gb-founders-edition-video-card-900-1g142-2520-000,$495.00 ,NVIDIA,900-1G142-2520-000,GeForce RTX 3060 Ti,8 GB,GDDR6,1410 MHz,1670 MHz,14000 MHz,PCIe x16,Black / Silver,G-Sync,242 mm,200 W,2,2,2 Fans,1 PCIe 12-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Asus TUF GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/7e2aecad10e5dcbe518f82a9e8dc64c3.256p.jpg,https://pcpartpicker.com/product/rB2WGX/asus-tuf-gaming-oc-geforce-rtx-4090-24-gb-video-card-tuf-rtx4090-o24g-gaming,"$1,779.99 ",Asus,"TUF-RTX4090-O24G-GAMING, 90YV0IE0-M0NA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2595 MHz,21000 MHz,PCIe x16,Black,G-Sync,348 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Asus TUF GAMING,//cdna.pcpartpicker.com/static/forever/images/product/c0ce4aec0694f178979ad52c4259d579.256p.jpg,https://pcpartpicker.com/product/R7Hqqs/asus-tuf-gaming-geforce-rtx-4070-ti-super-16-gb-video-card-tuf-rtx4070tis-16g-gaming,,Asus,"tuf-rtx4070tis-16g-gaming, 90YV0KF1-M0NA00, 90YV0KF1-M0AA00",GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2640 MHz,N/A,PCIe x16,Black,G-Sync,305 mm,285 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
