Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
Zotac ZT-50709-10M,https://images-na.ssl-images-amazon.com/images/I/41ujmeV87uL.jpg,https://pcpartpicker.com/product/ZfW9TW/zotac-video-card-zt5070910m,,Zotac,ZT-50709-10M,GeForce GTX 560,2 GB,GDDR5,820 MHz,N/A,4008 MHz,PCIe x16,Black / Orange,None,236 mm,150 W,2,2,1 Fan,None,1,1,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
MSI N430GT-MD2GD3/OC,//cdna.pcpartpicker.com/static/forever/images/product/6c2495ac139659f436b1b7d03b0b69c4.256p.jpg,https://pcpartpicker.com/product/9th9TW/msi-video-card-n430gtmd2gd3oc,,MSI,N430GT-MD2GD3/OC,GeForce GT 430,2 GB,DDR3,730 MHz,N/A,1334 MHz,PCIe x16,Black / Red,None,148 mm,49 W,1,2,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PowerColor AX6770 1GBD5-HV2,https://images-na.ssl-images-amazon.com/images/I/41RQfG4c1-L.jpg,https://pcpartpicker.com/product/xTLypg/powercolor-video-card-ax67701gbd5hv2,,PowerColor,AX6770 1GBD5-HV2,Radeon HD 6770,1 GB,GDDR5,850 MHz,N/A,1200 MHz,PCIe x16,Black / Red,None,182 mm,108 W,1,2,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,2-way CrossFire Capable
XFX HD-667X-CNF3,https://m.media-amazon.com/images/I/51dL+xJys0L.jpg,https://pcpartpicker.com/product/4P4gXL/xfx-video-card-hd667xcnf3,,XFX,HD-667X-CNF3,Radeon HD 6670,2 GB,DDR3,800 MHz,N/A,1300 MHz,PCIe x16,Black,None,149 mm,66 W,1,1,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zotac ZT-40707-10L,https://m.media-amazon.com/images/I/51hbcXxh5VL.jpg,https://pcpartpicker.com/product/fVNp99/zotac-video-card-zt4070710l,,Zotac,ZT-40707-10L,GeForce GT 440,2 GB,DDR3,810 MHz,N/A,1333 MHz,PCIe x16,Black / Orange,None,144 mm,65 W,1,1,1 Fan,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sapphire 11196-00-40G,https://m.media-amazon.com/images/I/41T-UA1eGbL.jpg,https://pcpartpicker.com/product/zWphP6/sapphire-video-card-111960040g,,Sapphire,11196-00-40G,Radeon HD 7950,3 GB,GDDR5,800 MHz,N/A,1250 MHz,PCIe x16,Black / Red,None,265 mm,200 W,2,2,1 Fan,2 PCIe 6-pin,1,N/A,N/A,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
Sapphire 11201-00-20G,https://m.media-amazon.com/images/I/41OMjRE2dRL.jpg,https://pcpartpicker.com/product/y3xfrH/sapphire-video-card-112010020g,,Sapphire,11201-00-20G,Radeon HD 7770,1 GB,GDDR5,1000 MHz,N/A,1125 MHz,PCIe x16,Black / Blue,None,210 mm,80 W,2,2,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,2-way CrossFire Capable
PowerColor AX6570 2GBK3-H,https://images-na.ssl-images-amazon.com/images/I/41NxVdfk9iL.jpg,https://pcpartpicker.com/product/mjzv6h/powercolor-video-card-ax65702gbk3h,,PowerColor,AX6570 2GBK3-H,Radeon HD 6570,2 GB,DDR3,650 MHz,N/A,N/A,PCIe x16,Black / Red,None,182 mm,44 W,1,1,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVGA 015-P3-1480-KR,https://m.media-amazon.com/images/I/31D8pLN3L7L.jpg,https://pcpartpicker.com/product/2fW9TW/evga-video-card-015p31480kr,,EVGA,015-P3-1480-KR,GeForce GTX 480,1.5 GB,GDDR5,700 MHz,N/A,3696 MHz,PCIe x16,Black,None,266 mm,250 W,2,2,1 Fan,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3-way SLI Capable, 2-way SLI Capable"
MSI TWIN FROZR,//cdna.pcpartpicker.com/static/forever/images/product/70da1ffdfe412e5696272e8a25c0656a.256p.jpg,https://pcpartpicker.com/product/B6w323/msi-video-card-r7850twinfrozr2gd5oc,,MSI,R7850 Twin Frozr 2GD5/OC,Radeon HD 7850,2 GB,GDDR5,900 MHz,N/A,1200 MHz,PCIe x16,Black / Silver,None,197 mm,130 W,2,2,2 Fans,1 PCIe 6-pin,1,N/A,1,N/A,N/A,N/A,N/A,2-way CrossFire Capable
Zotac ZT-60101-10P,https://m.media-amazon.com/images/I/41df12-ViZL.jpg,https://pcpartpicker.com/product/bYxfrH/zotac-video-card-zt6010110p,,Zotac,ZT-60101-10P,GeForce GTX 680,2 GB,GDDR5,1006 MHz,N/A,6008 MHz,PCIe x16,Black / Orange,G-Sync,266 mm,195 W,2,2,1 Fan,None,1,1,N/A,N/A,N/A,N/A,N/A,"4-way SLI Capable, 3-way SLI Capable, 2-way SLI Capable"
PowerColor AX7870 2GBD5-2DHPP,https://images-na.ssl-images-amazon.com/images/I/51%2BDqU0uLsL.jpg,https://pcpartpicker.com/product/4TLypg/powercolor-video-card-ax78702gbd52dhpp,,PowerColor,AX7870 2GBD5-2DHPP,Radeon HD 7870,2 GB,GDDR5,1100 MHz,N/A,1225 MHz,PCIe x16,Black / Silver,None,241 mm,175 W,2,2,1 Fan,2 PCIe 6-pin,1,N/A,N/A,N/A,N/A,N/A,N/A,2-way CrossFire Capable
Asus HD7770-DC-1GD5-V2,https://images-na.ssl-images-amazon.com/images/I/41ZZL3O4pwL.jpg,https://pcpartpicker.com/product/VkNp99/asus-video-card-hd7770dc1gd5v2,,Asus,HD7770-DC-1GD5-V2,Radeon HD 7770,1 GB,GDDR5,1020 MHz,N/A,1150 MHz,PCIe x16,Black / Red,None,236 mm,80 W,2,2,1 Fan,None,1,1,N/A,N/A,N/A,N/A,N/A,2-way CrossFire Capable
ATI 100-505637,https://m.media-amazon.com/images/I/41P6-HrUsRL.jpg,https://pcpartpicker.com/product/PRdqqs/ati-video-card-100505637,$129.99 ,ATI,100-505637,FirePro V3900,1 GB,DDR3,N/A,N/A,N/A,PCIe x16,Black / Red,None,N/A,50 W,1,1,1 Fan,None,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
EVGA 02G-P4-2682-KR,https://m.media-amazon.com/images/I/41Z3o2yyYLL.jpg,https://pcpartpicker.com/product/Jjzv6h/evga-video-card-02gp42682kr,,EVGA,02G-P4-2682-KR,GeForce GTX 680,2 GB,GDDR5,1058 MHz,N/A,6208 MHz,PCIe x16,Black,G-Sync,254 mm,195 W,2,2,1 Fan,None,1,1,1,N/A,N/A,N/A,N/A,"4-way SLI Capable, 3-way SLI Capable, 2-way SLI Capable"
Galaxy 67NPH6DV6KXZ,https://images-na.ssl-images-amazon.com/images/I/41qsI8xBZfL.jpg,https://pcpartpicker.com/product/67xfrH/galaxy-video-card-67nph6dv6kxz,,Galaxy,67NPH6DV6KXZ,GeForce GTX 670,2 GB,GDDR5,1006 MHz,N/A,6008 MHz,PCIe x16,Black / Silver,G-Sync,254 mm,170 W,2,2,2 Fans,None,1,1,1,N/A,N/A,N/A,N/A,"4-way SLI Capable, 3-way SLI Capable, 2-way SLI Capable"
Sapphire 11197-06-40G,https://images-na.ssl-images-amazon.com/images/I/41fTI9VS4nL.jpg,https://pcpartpicker.com/product/QFV48d/sapphire-video-card-111970640g,,Sapphire,11197-06-40G,Radeon HD 7970,3 GB,GDDR5,925 MHz,N/A,1375 MHz,PCIe x16,Black / Silver,None,279 mm,250 W,2,3,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,N/A,N/A,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
XFX FX-775A-ZNP4,https://images-na.ssl-images-amazon.com/images/I/41K0OqlfBiL.jpg,https://pcpartpicker.com/product/yJLypg/xfx-video-card-fx775aznp4,,XFX,FX-775A-ZNP4,Radeon HD 7750,1 GB,GDDR5,800 MHz,N/A,1125 MHz,PCIe x16,Black / Silver,None,210 mm,55 W,1,1,1 Fan,None,1,1,N/A,N/A,N/A,N/A,N/A,2-way CrossFire Capable
EVGA 01G-P3-2631-KR,https://m.media-amazon.com/images/I/51MwNElUtLL.jpg,https://pcpartpicker.com/product/pjzv6h/evga-video-card-01gp32631kr,,EVGA,01G-P3-2631-KR,GeForce GT 630,1 GB,DDR3,810 MHz,N/A,1600 MHz,PCIe x16,Black / Green,None,144 mm,65 W,1,1,1 Fan,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PNY VCGGTX670XPB,https://images-na.ssl-images-amazon.com/images/I/413CEju2UCL.jpg,https://pcpartpicker.com/product/MG8Zxr/pny-video-card-vcggtx670xpb,,PNY,VCGGTX670XPB,GeForce GTX 670,2 GB,GDDR5,915 MHz,N/A,N/A,PCIe x16,Black / Green,G-Sync,241 mm,170 W,2,2,1 Fan,None,1,1,1,N/A,N/A,N/A,N/A,"4-way SLI Capable, 3-way SLI Capable, 2-way SLI Capable"
PowerColor AX7970 3GBD5-2DHPPV,https://images-na.ssl-images-amazon.com/images/I/41gl9cx8I1L.jpg,https://pcpartpicker.com/product/znfp99/powercolor-video-card-ax79703gbd52dhppv,,PowerColor,AX7970 3GBD5-2DHPPV,Radeon HD 7970,3 GB,GDDR5,1100 MHz,N/A,1425 MHz,PCIe x16,Black / Red,None,284 mm,250 W,2,2,2 Fans,2 PCIe 8-pin,1,N/A,N/A,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
Gigabyte GV-N610D3-1GI,https://images-na.ssl-images-amazon.com/images/I/41An0HMdTFL.jpg,https://pcpartpicker.com/product/p2PfrH/gigabyte-video-card-gvn610d31gi,,Gigabyte,GV-N610D3-1GI,GeForce GT 610,1 GB,DDR3,810 MHz,N/A,1333 MHz,PCIe x16,Black / Blue,None,N/A,29 W,1,1,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MSI N640GT-MD2GD3,https://images-na.ssl-images-amazon.com/images/I/51bNeHh7OxL.jpg,https://pcpartpicker.com/product/gtZQzy/msi-video-card-n640gtmd2gd3,,MSI,N640GT-MD2GD3,GeForce GT 640,2 GB,DDR3,900 MHz,N/A,1334 MHz,PCIe x16,Black,None,144 mm,75 W,2,2,1 Fan,None,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATI 100-505602,https://m.media-amazon.com/images/I/31q5-D5PC5L.jpg,https://pcpartpicker.com/product/Gb3RsY/ati-video-card-100505602,,ATI,100-505602,FirePro V9800,4 GB,GDDR5,N/A,N/A,N/A,PCIe x16,Black / Red,None,N/A,225 W,2,2,1 Fan,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2-way CrossFire Capable
Asus GTX690-4GD5,/static/forever/img/no-image.png,https://pcpartpicker.com/product/n69KHx/asus-video-card-gtx6904gd5,,Asus,"GTX690-4GD5, ENGTX690-4GD5",GeForce GTX 690,4 GB,GDDR5,915 MHz,N/A,6008 MHz,PCIe x16,Black / Silver,G-Sync,279 mm,300 W,2,2,1 Fan,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
EVGA 02G-P4-2687-KR,https://images-na.ssl-images-amazon.com/images/I/41aW1eNBE2L.jpg,https://pcpartpicker.com/product/M3PfrH/evga-video-card-02gp42687kr,,EVGA,02G-P4-2687-KR,GeForce GTX 680,2 GB,GDDR5,1097 MHz,N/A,6208 MHz,PCIe x16,Black / Silver,G-Sync,254 mm,195 W,2,2,2 Fans,None,1,1,N/A,N/A,N/A,N/A,N/A,"4-way SLI Capable, 3-way SLI Capable, 2-way SLI Capable"
XFX FX797GTDFC,https://m.media-amazon.com/images/I/41gjVD+oLdL.jpg,https://pcpartpicker.com/product/rBCwrH/xfx-video-card-fx797gtdfc,,XFX,FX797GTDFC,Radeon HD 7970 GHz Edition,3 GB,GDDR5,1050 MHz,N/A,1500 MHz,PCIe x16,Black / Silver,None,274 mm,270 W,2,2,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,N/A,N/A,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
Gigabyte GV-R797TO-3GD,https://images-na.ssl-images-amazon.com/images/I/51o6JJYkp3L.jpg,https://pcpartpicker.com/product/kKw323/gigabyte-video-card-gvr797to3gd,,Gigabyte,GV-R797TO-3GD,Radeon HD 7970 GHz Edition,3 GB,GDDR5,1100 MHz,N/A,1500 MHz,PCIe x16,Black / Blue,None,284 mm,270 W,2,2,3 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,N/A,N/A,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
Asus GTX660 TI-DC2T-2GD5,https://m.media-amazon.com/images/I/51GoX4CUdNL.jpg,https://pcpartpicker.com/product/3DYXsY/asus-video-card-gtx660tidc2t2gd5,,Asus,GTX660 TI-DC2T-2GD5,GeForce GTX 660 Ti,2 GB,GDDR5,1059 MHz,N/A,6008 MHz,PCIe x16,Black / Red,G-Sync,271 mm,150 W,2,2,2 Fans,None,1,1,1,N/A,N/A,N/A,N/A,"3-way SLI Capable, 2-way SLI Capable"
MSI N660Ti-PE-2GD5,//cdna.pcpartpicker.com/static/forever/images/product/f41b93ea31ed7fcbcc04c879e5943975.256p.jpg,https://pcpartpicker.com/product/mcw323/msi-video-card-n660tipe2gd5,,MSI,N660Ti-PE-2GD5,GeForce GTX 660 Ti,2 GB,GDDR5,915 MHz,N/A,6008 MHz,PCIe x16,Black / Blue,G-Sync,264 mm,150 W,2,2,2 Fans,None,1,1,1,N/A,N/A,N/A,N/A,"3-way SLI Capable, 2-way SLI Capable"
