Name,Image URL,Product URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
ARCTIC Alpine 17,//cdna.pcpartpicker.com/static/forever/images/product/6f6e72d3f900e592f78ea9a58fc0fc7b.256p.jpg,https://pcpartpicker.com/product/YRWzK8/arctic-alpine-17-cpu-cooler-acalp00040a,$11.99 ,ARCTIC,Alpine 17,ACALP00040A,100 - 2000 RPM,N/A,Black / White,77 mm,LGA1700,No,No,9
Thermalright AXP120-X67,https://m.media-amazon.com/images/I/41OtP6FKlkL.jpg,https://pcpartpicker.com/product/qBnypg/thermalright-axp120-x67-59-cfm-cpu-cooler-axp120-x67-black-argb,$33.90 ,Thermalright,N/A,AXP120-X67 BLACK ARGB,1800 RPM,26.1 dB,Black,67 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright AXP90-X36,https://m.media-amazon.com/images/I/41Hsrx24RFL.jpg,https://pcpartpicker.com/product/8b92FT/thermalright-axp90-x36-4258-cfm-cpu-cooler-axp90-x36,$22.90 ,Thermalright,N/A,AXP90-X36,2700 RPM,22.4 dB,Gray,36 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright AXP90-X53 FULL,https://m.media-amazon.com/images/I/41RS5iHAKsL.jpg,https://pcpartpicker.com/product/DPHqqs/thermalright-axp90-x53-full-4258-cfm-cpu-cooler-axp90-x53-full,$45.90 ,Thermalright,N/A,AXP90-X53 FULL,2700 RPM,22.4 dB,Copper / Orange,53 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
be quiet! Dark Rock Slim,//cdna.pcpartpicker.com/static/forever/images/product/e54422fa9f63e8876b7bf51ef19ddb13.256p.jpg,https://pcpartpicker.com/product/krxbt6/be-quiet-dark-rock-slim-cpu-cooler-bk024,$59.99 ,be quiet!,Dark Rock Slim,BK024,1500 RPM,11 - 23.6 dB,Black,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Deepcool GAMMAXX AG620 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/ec2a661534171f89b5307f655fb0d201.256p.jpg,https://pcpartpicker.com/product/MkFbt6/deepcool-ag620-argb-6788-cfm-cpu-cooler-r-ag620-bkanmn-g-2,$47.99 ,Deepcool,N/A,"R-AG620-BKANMN-G-2, AG620 BK ARGB-AMAZON, AG620 BK ARGB",300 - 1850 RPM,29.4 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Noctua NH-P1,//cdna.pcpartpicker.com/static/forever/images/product/9bf88a0725d8d9b4e3a5b10e4bebeeab.256p.jpg,https://pcpartpicker.com/product/TWBG3C/noctua-nh-p1-fanless-cpu-cooler-nh-p1,$109.90 ,Noctua,N/A,NH-P1,N/A,0 dB,Silver,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,Yes,8
Deepcool LS520,//cdna.pcpartpicker.com/static/forever/images/product/75962fc9c4adde608dc99f2d6cfcc855.256p.jpg,https://pcpartpicker.com/product/xcD7YJ/deepcool-ls520-8585-cfm-liquid-cpu-cooler-r-ls520-bkamnt-g-1,$81.98 ,Deepcool,LS520,"R-LS520-BKAMNT-G-1, LS520",500 - 2250 RPM,32.9 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Cooler Master MasterLiquid ML360 Illusion,//cdna.pcpartpicker.com/static/forever/images/product/973eb581b6a61a8947cce55e123949bd.256p.jpg,https://pcpartpicker.com/product/TyWzK8/cooler-master-masterliquid-ml360-illusion-472-cfm-liquid-cpu-cooler-mlx-d36m-a18p2-r1,$145.11 ,Cooler Master,MasterLiquid ML360 Illusion,MLX-D36M-A18P2-R1,650 - 1800 RPM,6 - 30 dB,Black / Silver,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Thermalright Frozen Prism,https://m.media-amazon.com/images/I/31gZD4lY5EL.jpg,https://pcpartpicker.com/product/TMMMnQ/thermalright-frozen-prism-704-cfm-liquid-cpu-cooler-frozen-prism-240-black,$46.90 ,Thermalright,N/A,Frozen Prism 240 Black,1850 RPM,27 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
