Name,Image URL,Product URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD FX-8100,/static/forever/img/no-image.png,https://pcpartpicker.com/product/JdR48d/amd-cpu-fd8100wmw8kgu,,AMD,FD8100WMW8KGU,AMD FX,Bulldozer,Zambezi,AM3+,8,2.8 GHz,,,,8 MB,8 MB,95 W,None,,No,No,OEM/Tray,32 nm,No,No
AMD FX-4170,https://images-na.ssl-images-amazon.com/images/I/31i%2BVy1232L.jpg,https://pcpartpicker.com/product/YYxfrH/amd-cpu-fd4170frgubox,,AMD,FD4170FRGUBOX,AMD FX,Bulldozer,Zambezi,AM3+,4,4.2 GHz,,,,4 MB,8 MB,125 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Pentium G3440,https://m.media-amazon.com/images/I/51B8bGcA8TL.jpg,https://pcpartpicker.com/product/mTdqqs/intel-cpu-bx80646g3440,,Intel,BX80646G3440,Intel Pentium,Haswell Refresh,Haswell Refresh,LGA1150,2,3.3 GHz,,,,0.5 MB,3 MB,53 W,Intel HD Graphics,,No,Yes,Boxed,22 nm,Yes,No
AMD FX-4100,https://m.media-amazon.com/images/I/211-QmJzPuL.jpg,https://pcpartpicker.com/product/Tr9KHx/amd-cpu-fd4100wmw4kgu,,AMD,FD4100WMW4KGU,AMD FX,Bulldozer,Zambezi,AM3+,4,3.6 GHz,,,,4 MB,8 MB,95 W,None,,No,No,OEM/Tray,32 nm,No,No
Intel Xeon E5-2637 V2,//cdna.pcpartpicker.com/static/forever/images/product/fbdd6ae8942991f3c7f4501eb290999a.med.256p.jpg,https://pcpartpicker.com/product/QKFPxr/intel-cpu-cm8063501520800,,Intel,CM8063501520800,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,4,3.5 GHz,3.8 GHz,,,1 MB,15 MB,130 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
AMD Pro A10-7800B,/static/forever/img/no-image.png,https://pcpartpicker.com/product/pMnG3C/amd-cpu-ad780bybi44ja,,AMD,AD780BYBI44JA,AMD A10,Steamroller,Kaveri,FM2+,4,3.5 GHz,3.9 GHz,,,4 MB,0 MB,65 W,Radeon R7 (on-die),,No,No,OEM/Tray,28 nm,No,No
AMD A4-7300,https://m.media-amazon.com/images/I/41Wp6wg5vsL.jpg,https://pcpartpicker.com/product/Z9Trxr/amd-cpu-ad7300okhlbox,,AMD,AD7300OKHLBOX,AMD A4,Piledriver,Richland,FM2,2,3.8 GHz,4 GHz,,,1 MB,0 MB,65 W,Radeon HD 8470D,,No,Yes,Boxed,32 nm,Yes,No
AMD A10-7860k,/static/forever/img/no-image.png,https://pcpartpicker.com/product/7tnG3C/amd-cpu-ad786kybi44jc,,AMD,AD786KYBI44JC,AMD A10,Steamroller,Godavari,FM2+,4,3.6 GHz,4 GHz,,,4 MB,0 MB,65 W,Radeon R7 (on-die),,No,No,OEM/Tray,28 nm,No,No
Intel Core i7-6900K,/static/forever/img/no-image.png,https://pcpartpicker.com/product/Lv38TW/intel-cpu-bxc80671i76900k,,Intel,BXC80671I76900K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,8,3.2 GHz,3.7 GHz,,,2 MB,20 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-7300T,https://m.media-amazon.com/images/I/41QBIqWIoCL.jpg,https://pcpartpicker.com/product/VyRFf7/intel-core-i3-7300t-35ghz-dual-core-processor-bxc80677i37300t,$128.46 ,Intel,BXC80677I37300T,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.5 GHz,,,,0.5 MB,4 MB,35 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD A8-7670K,//cdna.pcpartpicker.com/static/forever/images/product/fab40664f5f2cefbf2612c234817e3e8.256p.jpg,https://pcpartpicker.com/product/y2mxFT/amd-a8-7670k-36ghz-quad-core-processor-ad767kxbjcsbx,,AMD,AD767KXBJCSBX,AMD A8,Steamroller,Godavari,FM2+,4,3.6 GHz,3.9 GHz,,,4 MB,0 MB,95 W,Radeon R7 (on-die),,No,Yes,Boxed,28 nm,Yes,No
Intel Core 2 Duo E8400,https://m.media-amazon.com/images/I/4161CeN+g3L.jpg,https://pcpartpicker.com/product/g9H323/intel-cpu-bx80570e8400,$168.14 ,Intel,BX80570E8400,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,3 GHz,,,,6 MB,0 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core i5-4670K,//cdna.pcpartpicker.com/static/forever/images/product/73e19374dc737ba0b428203d85c24a78.256p.jpg,https://pcpartpicker.com/product/DNrG3C/intel-cpu-bx80646i54670k,$62.00 ,Intel,BX80646I54670K,Intel Core i5,Haswell,Haswell,LGA1150,4,3.4 GHz,,,,1 MB,6 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i7-2600,https://m.media-amazon.com/images/I/511EMznII9L.jpg,https://pcpartpicker.com/product/nvyFf7/intel-cpu-bx80623i72600,,Intel,BX80623I72600,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics 2000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i3-7100,https://images-eu.ssl-images-amazon.com/images/I/511mRxIv4GL.jpg,https://pcpartpicker.com/product/J9X2FT/intel-core-i3-7100-39ghz-dual-core-processor-bx80677i37100,$70.00 ,Intel,BX80677I37100,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.9 GHz,,,,0.5 MB,3 MB,51 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-4790K,https://images-na.ssl-images-amazon.com/images/I/514cOpqlw3L.jpg,https://pcpartpicker.com/product/WMJwrH/intel-cpu-cm8064601710501,$185.00 ,Intel,CM8064601710501,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,4 GHz,4.4 GHz,,,1 MB,8 MB,88 W,Intel HD Graphics 4600,,No,Yes,OEM/Tray,22 nm,Yes,Yes: Hyper-Threading
Intel Xeon E5-2630,https://m.media-amazon.com/images/I/51j+GeVD5YL.jpg,https://pcpartpicker.com/product/kKvRsY/intel-cpu-bx80621e52630,$24.32 ,Intel,BX80621E52630,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA2011,6,2.3 GHz,,,,1.5 MB,15 MB,95 W,None,,Yes,No,Boxed,32 nm,No,Yes: Hyper-Threading
Intel 300,//cdna.pcpartpicker.com/static/forever/images/product/1d072056abc0a7b42cdb8db787cb145d.256p.jpg,https://pcpartpicker.com/product/FvkH99/intel-300-39-ghz-dual-core-processor-bx80715300,$88.10 ,Intel,BX80715300,Intel Processor,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,2,3.9 GHz,,,,2.5 MB,6 MB,46 W,Intel UHD Graphics 710,192 GB,Yes,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-7600,//cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,https://pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600,$89.00 ,Intel,BX80677I57600,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,3.5 GHz,4.1 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i5-3570K,https://m.media-amazon.com/images/I/51wwy3uSBOL.jpg,https://pcpartpicker.com/product/3LZQzy/intel-cpu-bx80637i53570k,$116.49 ,Intel,"BX80637I53570K, BX806237I53570K",Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,6 MB,77 W,Intel HD Graphics 4000,,No,Yes,Boxed,22 nm,Yes,No
