Name,Image URL,Product URL,Price,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,,
Kingston NV2,//cdna.pcpartpicker.com/static/forever/images/product/b95d0c7234714c4d7bb0f246c23cd3b9.256p.jpg,https://pcpartpicker.com/product/QvpzK8/kingston-nv2-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s500g,$42.99 ,"
Kingston
",SNV2S/500G,"
500 GB
","
$0.086
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Western Digital Black SN850X,//cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,https://pcpartpicker.com/product/yBC48d/western-digital-black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,$314.00 ,"
Western Digital
","WDS400T2X0E, WDBB9G0040BNC-WRSN","
4 TB
","
$0.079
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Silicon Power UD90,//cdna.pcpartpicker.com/static/forever/images/product/664aadb9f84d7293d083671b43c1f898.256p.jpg,https://pcpartpicker.com/product/f4cG3C/silicon-power-ud90-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud9005,$114.97 ,"
Silicon Power
",SP02KGBP44UD9005,"
2 TB
","
$0.057
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
TEAMGROUP MP44L,//cdna.pcpartpicker.com/static/forever/images/product/54ce8af72e7d2a00dfe405da2cbf5313.256p.jpg,https://pcpartpicker.com/product/2VJgXL/teamgroup-mp44l-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk002t0c101,$112.99 ,"
TEAMGROUP
",TM8FPK002T0C101,"
2 TB
","
$0.056
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 870 QVO,//cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg,https://pcpartpicker.com/product/7Qvqqs/samsung-870-qvo-8-tb-25-solid-state-drive-mz-77q8t0bam,$594.90 ,"
Samsung
","MZ-77Q8T0B/AM, MZ-77Q8T0BW","
8 TB
","
$0.074
","
SSD
",N/A,"
2.5",,,,
Crucial T700,//cdna.pcpartpicker.com/static/forever/images/product/708ad07de98d1fb30d2435a7ef47b3ab.256p.jpg,https://pcpartpicker.com/product/xhkH99/crucial-t700-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t700ssd3,$426.99 ,"
Crucial
",CT4000T700SSD3,"
4 TB
","
$0.107
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 5.0 X4
",No,,
Samsung 980,//cdna.pcpartpicker.com/static/forever/images/product/2aff821ed66963cb32fb0c71b093eccc.256p.jpg,https://pcpartpicker.com/product/mKBG3C/samsung-980-1-tb-m2-2280-nvme-solid-state-drive-mz-v8v1t0bam,$89.99 ,"
Samsung
","MZ-V8V1T0B/AM, MZ-V8V1T0BW","
1 TB
","
$0.090
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Seagate BarraCuda,//cdna.pcpartpicker.com/static/forever/images/product/0f3ec8d968661b3bfc4a7250f78ec8a9.256p.jpg,https://pcpartpicker.com/product/44Gj4D/seagate-barracuda-1tb-35-7200rpm-internal-hard-drive-st1000dm010,$45.00 ,"
Seagate
",ST1000DM010,"
1 TB
","
$0.045
","
7200 RPM
","
64 MB
","
3.5",,,,
Western Digital Gold,//cdna.pcpartpicker.com/static/forever/images/product/a311d7aa215ad39a8635831edf9db5ab.256p.jpg,https://pcpartpicker.com/product/mtdG3C/western-digital-gold-24-tb-35-7200-rpm-internal-hard-drive-wd241kryz,$599.99 ,"
Western Digital
",WD241KRYZ,"
24 TB
","
$0.025
","
7200 RPM
","
512 MB
","
3.5",,,,
Crucial T500,//cdna.pcpartpicker.com/static/forever/images/product/3fd5aee2fd8854d15ef3c81dcd9599f5.256p.jpg,https://pcpartpicker.com/product/M8yH99/crucial-t500-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000t500ssd8,$147.99 ,"
Crucial
",CT2000T500SSD8,"
2 TB
","
$0.074
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Crucial P3,//cdna.pcpartpicker.com/static/forever/images/product/5b0cd518feacc76794f17f75745b2907.256p.jpg,https://pcpartpicker.com/product/dBBG3C/crucial-p3-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3ssd8,$120.99 ,"
Crucial
",CT2000P3SSD8,"
2 TB
","
$0.060
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No,,
Kingston KC3000,https://m.media-amazon.com/images/I/31p3IUZV+ZL.jpg,https://pcpartpicker.com/product/sJPQzy/kingston-kc3000-2048-tb-m2-2280-nvme-solid-state-drive-skc3000d2048g,$162.99 ,"
Kingston
",SKC3000D/2048G,"
2.048 TB
","
$0.080
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Samsung 990 Pro w/Heatsink,//cdna.pcpartpicker.com/static/forever/images/product/1f3a70baa047ae18e1af31b89a344d2b.256p.jpg,https://pcpartpicker.com/product/VWxRsY/samsung-990-pro-heatsink-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0cw,$319.99 ,"
Samsung
",MZ-V9P4T0CW,"
4 TB
","
$0.080
","
SSD
","
4096 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Crucial T700,//cdna.pcpartpicker.com/static/forever/images/product/708ad07de98d1fb30d2435a7ef47b3ab.256p.jpg,https://pcpartpicker.com/product/mVwmP6/crucial-t700-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t700ssd3,$151.99 ,"
Crucial
",CT1000T700SSD3,"
1 TB
","
$0.152
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 5.0 X4
",No,,
Seagate Barracuda Compute,https://m.media-amazon.com/images/I/41aEb8InacL.jpg,https://pcpartpicker.com/product/qLRzK8/seagate-barracuda-compute-8-tb-35-7200rpm-internal-hard-drive-st8000dmz04,$129.59 ,"
Seagate
",ST8000DMZ04,"
8 TB
","
$0.016
","
5400 RPM
","
256 MB
","
3.5",,,,
Samsung 980 Pro,//cdna.pcpartpicker.com/static/forever/images/product/81d258654f0eb603dc240de6cbca9754.256p.jpg,https://pcpartpicker.com/product/w96qqs/samsung-980-pro-500-gb-m2-2280-nvme-solid-state-drive-mz-v8p500bam,$89.99 ,"
Samsung
","MZ-V8P500B/AM, MZ-V8P500BW","
500 GB
","
$0.180
","
SSD
","
512 MB
","
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Lexar NM790,//cdna.pcpartpicker.com/static/forever/images/product/496a72c7b0963d48aff4970b5407c89f.256p.jpg,https://pcpartpicker.com/product/TspQzy/lexar-nm790-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x002t-rnnng,$153.13 ,"
Lexar
",LNM790X002T-RNNNG,"
2 TB
","
$0.077
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No,,
Leven JS600,https://m.media-amazon.com/images/I/31tMSBg3EgL.jpg,https://pcpartpicker.com/product/NWkWGX/leven-js600-128-gb-25-solid-state-drive-js600ssd128gb,$13.99 ,"
Leven
",JS600SSD128GB,"
128 GB
","
$0.109
","
SSD
",N/A,"
2.5",,,,
Crucial T700,//cdna.pcpartpicker.com/static/forever/images/product/708ad07de98d1fb30d2435a7ef47b3ab.256p.jpg,https://pcpartpicker.com/product/8hkH99/crucial-t700-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t700ssd3,$269.99 ,"
Crucial
",CT2000T700SSD3,"
2 TB
","
$0.135
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 5.0 X4
",No,,
