Name,Image URL,Product URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
Patriot Signature Line 4 GB,//cdna.pcpartpicker.com/static/forever/images/product/fa80d569f04548854f56839f849f78b7.256p.jpg,https://pcpartpicker.com/product/GXbkcf/patriot-signature-line-4-gb-1-x-4-gb-ddr4-2400-cl16-memory-psd44g240081,$11.99 ,"
Patriot
",PSD44G240081,"
DDR4-2400
","
288-pin DIMM (DDR4)
","
1 x 4GB
","
$2.998
","
Black / Green
","
13.333 ns
","
16
","
1.2 V
",N/A,"
Non-ECC / Unbuffered
","
No
",12
G.Skill Aegis 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/707bc1722fa3946767a2620d1b0a34cf.256p.jpg,https://pcpartpicker.com/product/7nZFf7/gskill-aegis-16-gb-2-x-8-gb-ddr4-2400-cl17-memory-f4-2400c17d-16gis,$37.68 ,"
G.Skill
",F4-2400C17D-16GIS,"
DDR4-2400
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.355
","
Black / Red
","
14.167 ns
","
17
","
1.2 V
","
17-17-17-39
","
Non-ECC / Unbuffered
","
No
",13
Wintec Value 8 GB,//cdna.pcpartpicker.com/static/forever/images/product/ef5077599073e80a1a1531c50ecfad1a.med.256p.jpg,https://pcpartpicker.com/product/Mfbp99/wintec-memory-3vt8005u98gk,,"
Wintec
",3VT8005U9-8GK,"
DDR2-800
","
240-pin DIMM (DDR2)
","
2 x 4GB
",N/A,"
Green
","
15 ns
","
6
","
1.8 V
",N/A,"
Non-ECC / Unbuffered
","
No
",11
TEAMGROUP T-Force Dark Za 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/130610fae2d17d8fba6193d3fdb704c0.256p.jpg,https://pcpartpicker.com/product/sfxbt6/teamgroup-t-force-dark-za-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-tdzad432g3600hc18jdc01,,"
TEAMGROUP
",TDZAD432G3600HC18JDC01,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
",N/A,"
Black / Silver
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",12
Silicon Power SU016GLSTU160N22AH 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/81ea6a8c0f75ee226f373cb6d938dd2e.256p.jpg,https://pcpartpicker.com/product/YFJmP6/silicon-power-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-su016glstu160n22ah,$17.97 ,"
Silicon Power
",SU016GLSTU160N22AH,"
DDR3-1600
","
204-pin SODIMM (DDR3)
","
2 x 8GB
","
$1.123
","
Green
","
13.75 ns
","
11
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
No
",12
Corsair Vengeance 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/4afa94216755c30ad4473c556426a19d.256p.jpg,https://pcpartpicker.com/product/JZ6p99/corsair-vengeance-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmk64gx5m2b5200z40,$181.30 ,"
Corsair
",CMK64GX5M2B5200Z40,"
DDR5-5200
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$2.833
","
Gray
","
15.385 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Dominator Titanium 48 GB,//cdna.pcpartpicker.com/static/forever/images/product/6d6e5fd7604404b8675c404290062b16.256p.jpg,https://pcpartpicker.com/product/RZqrxr/corsair-dominator-titanium-48-gb-2-x-24-gb-ddr5-7000-cl36-memory-cmp48gx5m2b7000c36,$239.99 ,"
Corsair
",CMP48GX5M2B7000C36,"
DDR5-7000
","
288-pin DIMM (DDR5)
","
2 x 24GB
","
$5.000
","
Black
","
10.286 ns
","
36
","
1.4 V
","
36-44-44-114
","
Non-ECC / Unbuffered
","
Yes
",13
Samsung M393A1G40EB1-CPB 8 GB,//cdna.pcpartpicker.com/static/forever/images/product/56cae67eff37b32578b01be3bbd3496c.256p.jpg,https://pcpartpicker.com/product/2CYLrH/samsung-8-gb-1-x-8-gb-registered-ddr4-2133-memory-m393a1g40eb1-cpb,$14.99 ,"
Samsung
",M393A1G40EB1-CPB,"
DDR4-2133
","
288-pin DIMM (DDR4)
","
1 x 8GB
","
$1.874
","
Green / Black
","
14.065 ns
","
15
","
1.2 V
",N/A,"
ECC / Registered
","
No
",12
Corsair Vengeance RGB RT 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/f52d92708d72fdee2156bd5667f15d01.256p.jpg,https://pcpartpicker.com/product/ycBG3C/corsair-vengeance-rgb-rt-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-cmn32gx4m2z3600c18w,$99.99 ,"
Corsair
",CMN32GX4M2Z3600C18W,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$3.125
","
White / Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Timetec PINNACLE Konduit 8 GB,//cdna.pcpartpicker.com/static/forever/images/product/1e5db42cbbb393b0bf4cbebdd103f40e.256p.jpg,https://pcpartpicker.com/product/sy4Zxr/timetec-pinnacle-konduit-8-gb-1-x-8-gb-ddr4-3600-cl18-memory-pkmd4u36c18fnhw8g,$23.99 ,"
Timetec
",PKMD4U36C18FNHW8G,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
1 x 8GB
","
$2.999
","
White
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
