Name,Image URL,Product URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume,
In Win IW-Z589T.CQ350TBL,https://m.media-amazon.com/images/I/41jYNht-YxL.jpg,https://pcpartpicker.com/product/mTh9TW/inwin-case-iwz589tcq350tbl,,In Win,IW-Z589T.CQ350TBL,MicroATX Mini Tower,Black,350 W,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"2 x External 5.25"", 2 x External 3.5"", 1 x Internal 3.5""",4 x Full-Height,"370 mm x 180 mm x 363 mm, 14.567"" x 7.087"" x 14.291""","24.176 L, 0.854 ft³",
Raidmax Icecube,/static/forever/img/no-image.png,https://pcpartpicker.com/product/z3DwrH/raidmax-case-atx015b,,Raidmax,ATX-015B,MicroATX Desktop,Black,None,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"2 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",4 x Full-Height,"431 mm x 311 mm x 247 mm, 16.969"" x 12.244"" x 9.724""","33.108 L, 1.169 ft³",
Raidmax Tornado,https://images-na.ssl-images-amazon.com/images/I/51ylH6xC6IL.jpg,https://pcpartpicker.com/product/N8Bv6h/raidmax-case-atx238wr,,Raidmax,ATX-238WR,ATX Mid Tower,Black / Red,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"495 mm x 203 mm x 419 mm, 19.488"" x 7.992"" x 16.496""","42.103 L, 1.487 ft³",
Raidmax Tornado,https://m.media-amazon.com/images/I/31Vii4u+bxL.jpg,https://pcpartpicker.com/product/BKmLrH/raidmax-tornado-atx-mid-tower-case-atx-238wu,,Raidmax,ATX-238WU,ATX Mid Tower,Black / Blue,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"495 mm x 203 mm x 419 mm, 19.488"" x 7.992"" x 16.496""","42.103 L, 1.487 ft³",
Raidmax Atlas ATX-295WB,https://m.media-amazon.com/images/I/41c0wyvbmRL.jpg,https://pcpartpicker.com/product/Tyzv6h/raidmax-case-atx295wb,,Raidmax,ATX-295WB,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"508 mm x 190 mm x 444 mm, 20"" x 7.48"" x 17.48""","42.855 L, 1.513 ft³",
Raidmax Smilodon ATX-612WB,https://m.media-amazon.com/images/I/411SIK8fOWL.jpg,https://pcpartpicker.com/product/jMNp99/raidmax-case-atx612wb,,Raidmax,ATX-612WB,ATX Mid Tower,Black / White,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"520 mm x 203 mm x 450 mm, 20.472"" x 7.992"" x 17.717""","47.502 L, 1.678 ft³",
Raidmax Smilodon ATX-612WB,https://m.media-amazon.com/images/I/41CDsEybctL.jpg,https://pcpartpicker.com/product/4zckcf/raidmax-case-atx612web,,Raidmax,ATX-612WEB,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"520 mm x 203 mm x 450 mm, 20.472"" x 7.992"" x 17.717""","47.502 L, 1.678 ft³",
Raidmax Helios ATX-819WB,https://images-na.ssl-images-amazon.com/images/I/41UDJXgz74L.jpg,https://pcpartpicker.com/product/8hckcf/raidmax-case-atx819wb,,Raidmax,ATX-819WB,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 4 x Internal 3.5""",7 x Full-Height,"508 mm x 203 mm x 495 mm, 20"" x 7.992"" x 19.488""","51.046 L, 1.803 ft³",
Raidmax Aura ATX-927WB,/static/forever/img/no-image.png,https://pcpartpicker.com/product/cK9KHx/raidmax-case-atx927wu,,Raidmax,ATX-927WU,ATX Mid Tower,Blue,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 3 x Internal 3.5""",7 x Full-Height,"457 mm x 203 mm x 431 mm, 17.992"" x 7.992"" x 16.969""","39.984 L, 1.412 ft³",
Raidmax Eclipse ATX-989WBBL,https://images-na.ssl-images-amazon.com/images/I/41ktjvIqomL.jpg,https://pcpartpicker.com/product/G73RsY/raidmax-case-atx989wbbl,,Raidmax,ATX-989WBBL,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 3 x Internal 3.5""",7 x Full-Height,"495 mm x 203 mm x 419 mm, 19.488"" x 7.992"" x 16.496""","42.103 L, 1.487 ft³",
